12701849.96,4338183.793
12702085.23,4338221.987
12702367.21,4338268.667
12702791.87,4338588.005
12703021.16,4338854.902
12703350.72,4339180.161
12703521.46,4339294.949
12703678.56,4339306.818
12703912.39,4339327.972
12703929.98,4339329.565
12704176.25,4339248.994
12704287.55,4339196.938
12704406.44,4339184.272
12704738.46,4339129.498
12704957.64,4339159.074
12705163.18,4339140.904
12705454.47,4339132.482
12705837.48,4338952.91
12705997.22,4338862.462
12706094.03,4338746.617
12706251.08,4338466.395
12706366.61,4338247.78
12706472.83,4338131.81
12706658.8,4337938.927
12706866.85,4337779.066
12707076.67,4337610.457
12707268.64,4337489.322
12707405.38,4337381.714
12707661.02,4337207.077
12708041.46,4337105.705
12708207.99,4337063.074
12708433.9,4336862.918
12708517.99,4336644.333
12708591.86,4336211.555
12708664.09,4335873.593
12708731.12,4335401.735
12708762.6,4335070.292
12708862.83,4334566.852
12708993.59,4334357.396
12709177.91,4334227.283
12709353.73,4334122.094
12709615.3,4334041.495
12709970.31,4334034.868
12710505.41,4334348.845
12710877.42,4334571.757
12711318.18,4334883.43
12711495.71,4335006.127
12711724.12,4334996.582
12711882.14,4334976.629
12712068.12,4334784.664
12712198.08,4334621.139
12712332.31,4334625.116
12712415.49,4334753.973
12712490.23,4334913.458
12712542.08,4335033.436
12712614.23,4335272.139
12712669.4,4335363.286
12712692.34,4335458.08
12712706.83,4335569.183
12712688.97,4335679.093
12712727.19,4335806.704
12712787.49,4335981.052
12712801.93,4336099.253
12712847.79,4336219.047
12712829.94,4336352.499
12712805.35,4336423.699
12712827.38,4336590.368
12712834.16,4336677.018
12712947.17,4337034.101
12712961.61,4337113.793
12712991.33,4337255.875
12712990.42,4337334.772
12713004.9,4337422.291
12713043.13,4337509.876
12713073.71,4337581.284
12713080.5,4337715.813
12713141.64,4337859.096
12713187.52,4337922.615
12713274.11,4337947.546
12713430.37,4338020.747
12713596.03,4338023.4
12713777.79,4337954.376
12713911.96,4337925.002
12714118.36,4337785.431
