1,113.5501411808,22.2162829168
2,113.5501066054,22.2161887950
3,113.5503639997,22.2156043756
4,113.5523448790,22.2148360345
5,113.5533845406,22.2144196896
6,113.5542162698,22.2140724955
7,113.5553294040,22.2137012907
8,113.5568401546,22.2131932252
9,113.5585060142,22.2124224830
10,113.5594654801,22.2112709318
11,113.5600662268,22.2102000564
12,113.5601752352,22.2085034633
13,113.5601348973,22.2063069682
14,113.5601833988,22.2051266042
15,113.5617162393,22.1998994837
16,113.5600465380,22.1991945307
17,113.5588599313,22.1971982846
18,113.5583701138,22.1963742387
19,113.5577626441,22.1963324602
20,113.5560084254,22.1974614414
21,113.5558902930,22.1973519528
22,113.5555906399,22.1968482091
23,113.5552242373,22.1962181695
24,113.5548290218,22.1957110643
25,113.5546004404,22.1954642348
26,113.5543905872,22.1927904078
27,113.5533917438,22.1924470553
28,113.5551493240,22.1890303386
29,113.5564137253,22.1888046384
30,113.5543560118,22.1878614997
31,113.5520240966,22.1869735855
32,113.5512471117,22.1866777742
33,113.5501906427,22.1861812338
34,113.5488047475,22.1857917809
35,113.5479105905,22.1851382107
36,113.5468469183,22.1842306078
37,113.5461189152,22.1836255392
38,113.5448938913,22.1829258686
39,113.5429595926,22.1826992080
40,113.5414661296,22.1824144416
41,113.5396787762,22.1811586841
42,113.5386175051,22.1804047494
43,113.5356243363,22.1795273999
44,113.5337505445,22.1795562127
45,113.5323752139,22.1797319707
46,113.5308966375,22.1803197517
47,113.5303285453,22.1813041887
48,113.5286156249,22.1812187107
49,113.5280086355,22.1840923064
50,113.5277642070,22.1860453334
51,113.5284437086,22.1881645142
52,113.5295501198,22.1893746514
53,113.5310301368,22.1913190346
54,113.5328227726,22.1937277839
55,113.5335627811,22.1962522646
56,113.5349213042,22.2011854946
57,113.5357295030,22.2053782359
58,113.5355465418,22.2072126502
59,113.5343791435,22.2099657124
60,113.5335171609,22.2127221361
61,113.5345088011,22.2138165419
62,113.5353102769,22.2139846165
63,113.5375840863,22.2137507527
64,113.5400475799,22.2133420913
65,113.5416577347,22.2139759727
66,113.5426421717,22.2148898184
67,113.5442403212,22.2159304403
68,113.5451061456,22.2164942106
69,113.5467086169,22.2161983993
70,113.5500355339,22.2164260203
71,113.5501411808,22.2162829168
